run_name,experiment_number,alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1
experiment_1_20260313-115114,1,0.5,0,1250,5000,0.8609647003446691,0.8547967097249708,0.66,0.6596827905453209,-0.006167990619698305,0.19479670972497076,27.48620441701496,0.02748620441701496,0.9182703006573274,0.8609648275438676,0.8609648275438676,0.05730547311345979,2.009338472580586,0.8609647003446691,0.8527632104907252,1.1483737722359169,2.54258754548889e-06,2.54258754548889e-06,2.5425665352312653e-06,-2.20808486778254e-22,0.9999917366630463
experiment_2_20260313-115215,2,1.0,0,2500,5000,0.8537983677739709,0.8532674398109078,0.66,0.6587840184498182,-0.0005309279630630881,0.19326743981090777,39.39053683297243,0.03939053683297243,0.9101849450106935,0.8537983677739754,0.8537983677739754,0.05638657723671803,1.992242447803945,0.8537983677739709,0.8463108421825883,1.1384440800299742,9.158545214007272e-14,9.15854521400727e-14,9.158318074181566e-14,-1.9345829262206763e-29,nan
experiment_3_20260313-115533,3,2.0,0,5000,5000,0.8582886913064933,0.8546089864469796,0.66,0.6601247920553202,-0.003679704859513744,0.19460898644697955,77.85158741602208,0.07785158741602208,0.9151473316109424,0.8582886913064933,0.8582886913064933,0.05685864030444909,1.9958630769262133,0.8582886913064933,0.8525351791525283,1.13757438561972,8.00482466445568e-16,8.004824664455679e-16,7.996531308097412e-16,-2.451121858913539e-31,nan
experiment_4_20260313-130113,4,3.0,0,7500,5000,0.8584932848302352,0.8503583305848464,0.66,0.6562527752992612,-0.008134954245388792,0.1903583305848464,129.4817243749858,0.12948172437498578,0.9155577486690485,0.8584932848302352,0.8584932848302351,0.05706446383881325,2.0022648316890925,0.8584932848302352,0.8524033067770198,1.1437715468588574,2.1633748294853262e-19,2.1633748294853262e-19,2.1603106016192986e-19,-6.152915900759245e-35,nan
experiment_5_20260313-131444,5,5.0,0,12500,5000,0.8576018374811075,0.8549122208730545,0.66,0.657599225794865,-0.0026896166080530026,0.1949122208730545,170.38609170896234,0.17038609170896235,0.9145228125647172,0.8576018374811075,0.8576018374811073,0.056920975083609715,1.9995041130711302,0.8576018374811075,0.8511561999118579,1.1419022755900228,1.6116522078278838e-21,1.6116522078278837e-21,1.611644757948206e-21,-2.790909404478677e-37,nan
