n_train,num_eigs,min_eig,max_eig,mean_eig,median_eig,std_eig,trace,top_eigenvalue,R1,effective_rank
10,25,1.4004769722830901e-06,24.900589111317622,1.555514229575983,0.02637707874843311,5.027839406991995,38.887855739399576,24.900589111317622,0.640317873996055,3.1393749992285733
20,25,2.589807846389269e-08,26.554195673467,2.111825887159783,0.03665260014488008,5.688769954327419,52.79564717899457,26.554195673467,0.502961836672625,4.060831147208142
30,25,1.534973636627506e-08,33.56250990740344,2.088465970910655,0.009756002941860726,6.8506590167156745,52.211649272766365,33.56250990740344,0.6428165050306056,2.88725822293281
40,25,2.0241634733232934e-09,28.115927452042783,1.7322358102544775,0.0034849930640556913,5.617704932047459,43.305895256361936,28.115927452042783,0.6492401850972556,3.083052713160719
50,25,4.6242278580106085e-09,11.488407984222304,1.1844672649009274,0.012245614315886213,2.718120653143331,29.611681622523186,11.488407984222304,0.387968779709019,5.1578601958509624
60,25,1.9948952876188474e-09,8.226499267937102,0.6625542343177044,0.00023079995458829907,1.9015290376796665,16.56385585794261,8.226499267937102,0.4966536378057393,3.29242317258012
70,25,5.492385675225333e-08,6.997048666348492,0.7405671078113132,0.0034617534332321946,1.7004680940062882,18.51417769528283,6.997048666348492,0.37792921627468495,5.040618408303468
80,25,2.3601031832545844e-13,6.261399903593269,0.7082520176334967,0.000328513244938936,1.563143211315998,17.706300440837417,6.261399903593269,0.35362553146066106,5.10936012186655
90,25,1.6081382728960757e-10,4.052903435582451,0.49599945068166695,4.946356286603293e-06,1.0866893408593654,12.399986267041674,4.052903435582451,0.3268474132390609,4.694506304895907
100,25,3.7646506857749306e-10,6.659220427665637,0.6857589510087352,1.6745709258452164e-05,1.6732728260405167,17.14397377521838,6.659220427665637,0.388429223876412,4.216084213626717
125,25,9.254648263107318e-11,4.728319311937785,0.47457064458829457,1.9542748683281134e-06,1.1451689751251926,11.864266114707364,4.728319311937785,0.39853449562096327,4.167859860332025
150,25,2.8844850228832675e-11,4.298654440006503,0.4522884131953188,1.3184586815239353e-06,1.1084386766218042,11.30721032988297,4.298654440006503,0.3801693180364669,4.098181614192632
175,25,1.0959116309506095e-12,4.082513768727303,0.4291638262221177,6.307316647659532e-07,0.9823085209313982,10.729095655552943,4.082513768727303,0.38050865606873024,4.670854597058115
200,25,1.0368978798173297e-10,3.1503979889243747,0.388095266675274,3.986313832008282e-06,0.8812006241022449,9.70238166688185,3.1503979889243747,0.32470357249271653,4.633364445861177
250,25,5.057534405334494e-13,3.4632559990640153,0.398509699404342,5.634172118404995e-06,0.8894568394276927,9.96274248510855,3.4632559990640153,0.34762074842751306,4.78018581310084
300,25,4.703925843585402e-12,2.874233253727616,0.3318839491846222,6.153375413619388e-07,0.7179068742885915,8.297098729615556,2.874233253727616,0.34641425242637713,5.0873384248147735
400,25,8.271036443494416e-14,2.100791315763837,0.2844322704825949,1.948812874982925e-07,0.5889519550448886,7.110806762064872,2.100791315763837,0.2954364231877676,5.417865705779137
500,25,1.6343990827643408e-12,2.3972941456695445,0.24797604742075857,6.042926516889169e-07,0.5486424906483551,6.199401185518965,2.3972941456695445,0.3866976944917402,5.1427156823259335
750,25,2.196110938737652e-11,2.0134300792761746,0.23372684224586382,1.3190203981258154e-07,0.5144441936135115,5.843171056146596,2.0134300792761746,0.34457832227214896,4.989777126806075
1000,25,2.9306804597126562e-12,1.9193312387900177,0.22518155857769984,5.808175406104676e-07,0.47661208974367425,5.629538964442496,1.9193312387900177,0.3409393292972958,5.267977324320408
1250,25,1.2969566252475344e-15,1.4190025475568844,0.21336613253112344,1.6216151635680946e-07,0.39014271700577824,5.334153313278086,1.4190025475568844,0.26602207777279674,6.475077839059148
1500,25,4.179609432245172e-14,1.6381454113621943,0.22020202951845788,3.4674498842528497e-06,0.4110350963420022,5.505050737961447,1.6381454113621943,0.2975713557126649,6.528725048718515
1750,25,1.4881634197276763e-12,1.2669304365858802,0.20313078466763743,4.170836473667415e-06,0.38188912724613167,5.078269616690935,1.2669304365858802,0.24948073501686743,6.1961296233925784
2000,25,1.7367318621598333e-13,1.3773977815679948,0.1992468801586279,4.273369959863102e-06,0.37615491235843046,4.981172003965698,1.3773977815679948,0.27652082290501045,6.315943302618964
2500,25,8.309738044639064e-12,1.3213679314748927,0.19752490067781564,6.912824833125211e-06,0.35690365281354103,4.938122516945391,1.3213679314748927,0.2675850846026114,6.881528924995621
5000,25,1.816836665360794e-12,1.0525550134415964,0.1776743021051162,0.0005876281086492353,0.2941113936610999,4.441857552627905,1.0525550134415964,0.2369628023795767,7.913162278262111
