alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,datetime
,42,10,5000,0.1408354445113096,1.4623519202110609,0.13898342541436456,0.13920828693728304,1.3215164756997513,1.3233684947966964,32.99844918400049,0.0032998449184000493,0.3223301466180938,0.1524519662671631,0.1524519662671631,0.1698781803509307,0.3206569461237997,0.1408354445113096,0.14083505443563693,0.17982150161249008,23.233043510092827,23.23304351009282,14.855568049164425,6.759731627620744e-17,0.6394154964118635,20260319-193900
,42,50,5000,0.17246554416646545,0.570362243970329,0.13898342541436456,0.1386131974680103,0.39789669980386355,0.4313788185559644,34.33953985571861,0.003433953985571861,0.3056236333148302,0.19335574013246434,0.19335574013246434,0.11226789318236588,0.30410992954942906,0.17246554416646545,0.17246554416646545,0.1316443853829636,41.78039123541563,41.78039123541563,27.931512457168775,6.05152918634495e-16,0.668531615699479,20260319-193900
,42,100,5000,0.20233670279456306,0.29843311089508806,0.13898342541436456,0.14039156160341523,0.096096408100525,0.1594496854807235,38.0076560638845,0.0038007656063884497,0.29436990635949817,0.2147721243084329,0.2147721243084329,0.07959778205106527,0.29296148305256503,0.20233670279456306,0.20233670279456306,0.09062478025800197,24.870842872105506,24.870842872105506,13.196073083790633,1.6994742613996846e-15,0.5305840719451855,20260319-193900
,42,150,5000,0.20824989132010208,0.276422568802067,0.13898342541436456,0.13996057890389918,0.06817267748196493,0.13743914338770244,42.06216418556869,0.004206216418556869,0.28564215340923715,0.21992583403020388,0.21992583403020388,0.06571631937903327,0.2842864114072263,0.20824989132010208,0.20824989132010208,0.07603652008712425,23.35188541999511,23.351885419995114,10.283089482362103,6.40070446086088e-17,0.4403537143753362,20260319-193900
,42,200,5000,0.21694302593447945,0.2553569267310442,0.13898342541436456,0.13965615450024543,0.03841390079656476,0.11637350131667965,47.27923638001084,0.0047279236380010844,0.28575597305109535,0.2264137211545305,0.2264137211545305,0.059342251896564835,0.2843661469194085,0.21694302593447945,0.21693698359533542,0.06742312098492903,18.941390302625663,18.941390302625663,7.1685968095533985,2.954419304233049e-15,0.3784620186280457,20260319-193900
,42,250,5000,0.21690299859635348,0.2518663872669168,0.13898342541436456,0.13849988807606622,0.03496338867056331,0.11288296185255223,51.565270487219095,0.0051565270487219095,0.29092408429803457,0.22720189235496366,0.22720189235496366,0.06372219194307091,0.28950773710271455,0.21690299859635348,0.21689871796660698,0.07260473850636107,20.597787475440747,20.59778747544075,6.982086262565419,7.241660861601105e-15,0.33897263339037415,20260319-193900
,42,300,5000,0.21968794102095657,0.24291569487306952,0.13898342541436456,0.13835848999052433,0.023227753852112953,0.10393226945870496,56.37515888735652,0.005637515888735652,0.29105114377079233,0.22900494206801328,0.22900494206801328,0.06204620170277905,0.2896116405886492,0.21968794102095657,0.21968715704689476,0.06992369956769262,18.63400198482856,18.634001984828565,6.3591802677830085,-7.546466478092265e-17,0.34126755341984666,20260319-193900
,42,400,5000,0.22220787747754378,0.23946896175321603,0.13898342541436456,0.1389098862432386,0.017261084275672245,0.10048553633885146,63.53916424885392,0.006353916424885392,0.2889348710763187,0.23073729163082232,0.23073729163082232,0.05819757944549639,0.2874916521206859,0.22220787747754378,0.22220646572003167,0.06528377464314211,17.05882821433794,17.058828214337943,4.0629032894264645,3.522094839180509e-15,0.2381701274189277,20260319-193900
,42,500,5000,0.22769986470417575,0.23922560012973526,0.13898342541436456,0.13894687599605798,0.011525735425559513,0.1002421747153707,73.7209942638874,0.00737209942638874,0.2912811398191875,0.23622531343756017,0.23622531343756017,0.05505582638162734,0.2898661529807473,0.22769986470417575,0.22769859489075872,0.06216628827657156,17.050897317629314,17.050897317629307,4.390455003391342,2.0629565337208444e-15,0.25749114088277036,20260319-193900
,42,750,5000,0.22960033519431397,0.23528460407116017,0.13898342541436456,0.13857633516922335,0.005684268876846199,0.0963011786567956,119.4740141518414,0.01194740141518414,0.28946937110824417,0.23746223101413,0.23746223101413,0.05200714009411417,0.28807210259512783,0.22960033519431397,0.22960003987527808,0.05847176740081386,15.723791585212734,15.723791585212732,3.3511969611111425,8.402121252538969e-16,0.21312906260235218,20260319-193900
,42,1000,5000,0.22554175601193652,0.2376778860513171,0.13898342541436456,0.1403560316631908,0.012136130039380577,0.09869446063695253,157.0737651474774,0.01570737651474774,0.28469064182393233,0.2332803780602318,0.2332803780602318,0.05141026376370053,0.28329549305022383,0.22554175601193652,0.22554175601193652,0.05775373703828732,15.477244031482,15.477244031481998,3.037104326986938,3.4707662209827527e-16,0.19623030565449612,20260319-193900
,42,1250,5000,0.2295104833509261,0.23356776461195194,0.13898342541436456,0.1386418125739258,0.004057281261025836,0.09458433919758738,190.7924771811813,0.01907924771811813,0.28962117795107023,0.23697320075406558,0.23697320075406558,0.05264797719700465,0.2882037817269315,0.2295104833509261,0.2295104833509261,0.0586932983760054,14.925434728495814,14.925434728495816,2.121758318073022,1.7970246982115825e-16,0.14215722065516362,20260319-193900
,42,1500,5000,0.22999938443635853,0.23077458617188687,0.13898342541436456,0.13729706835055694,0.0007752017355283358,0.0917911607575223,231.31221716478467,0.023131221716478467,0.28796881269055397,0.23719411791926276,0.23719411791926276,0.05077469477129121,0.28656513953153295,0.22999938443635853,0.22999938443635853,0.05656575509517442,14.389466900593266,14.38946690059327,2.2550781591370894,4.0066483364390505e-17,0.15671728318469635,20260319-193900
