run_name,experiment_number,alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
experiment_1_20260308-023627,1,0.5,0,1250,5000,1.0809046168154721,1.0801497828499855,0.9353846153846154,0.9367410645929897,0.38400125198661217,0.3840012519866121,0.08029987622918927,0.20911357922340545
experiment_2_20260308-023636,2,1.0,0,2500,5000,1.0798324814354539,1.0771542864725692,0.9353846153846154,0.9347917715924361,0.27218837663670836,0.2721883766367084,0.03688058334533755,0.13549654030437278
experiment_3_20260308-023653,3,2.0,0,5000,5000,1.0756397013168453,1.0742304746393325,0.9353846153846154,0.9307009346544859,0.21363280154005598,0.21363280154005596,0.026886703010531053,0.12585475084681613
experiment_4_20260308-023723,4,3.0,0,7500,5000,1.0775246013945137,1.0760507119298768,0.9353846153846154,0.9341322628619361,0.1939314642534171,0.1939314642534171,0.025688347884697517,0.13246095977045602
experiment_5_20260308-023813,5,5.0,0,12500,5000,1.0776407061647908,1.076129431959389,0.9353846153846154,0.9335338891160405,0.1802934825509525,0.18029348255095246,0.01832186099867336,0.10162242550002021
