alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,datetime
0.5,0,1250,5000,0.8607048204650931,0.854601326026335,0.66,0.6596827905453209,-0.006103494438758128,0.19460132602633495,18.399594750022516,0.018399594750022515,0.9182703006573274,0.8610384920873521,0.8610384920873521,0.05723180856997534,0.8651488926467293,0.8607048204650931,0.8507264254965059,0.004444072181636227,0.00666746300911406,0.006667463009114063,0.0021716426252712945,3.662218001872865e-12,0.3257074875860242,20260313-113632
1.0,0,2500,5000,0.853696811098326,0.8531738366164237,0.66,0.6587840184498182,-0.0005229744819023052,0.19317383661642362,33.777457916003186,0.03377745791600319,0.9101849450106935,0.8538475566411318,0.8538475566411318,0.0563373883695617,0.8572054203890329,0.853696811098326,0.8446835942076275,0.0035086092907069544,0.0030099391720887804,0.00300993917208878,0.0011036412305643365,1.3041674393344017e-12,0.3666656259363717,20260313-113652
2.0,0,5000,5000,0.8581991015502365,0.8545254631304244,0.66,0.6601247920553202,-0.003673638419812053,0.1945254631304244,60.73428462498123,0.060734284624981226,0.9151473316109424,0.8583390362614011,0.8583390362614011,0.05680829534954135,0.8621238314924808,0.8581991015502365,0.8494179891113683,0.003924729942244354,0.0027936293917415977,0.0027936293917415977,0.0010957556379136654,1.3046567135423154e-12,0.3922337161661061,20260313-113726
3.0,0,7500,5000,0.858387128330664,0.8502542654360674,0.66,0.6562527752992612,-0.008132862894596582,0.19025426543606738,99.15161441697273,0.09915161441697273,0.9155577486690485,0.8585504901555238,0.8585504901555238,0.05700725851352473,0.8624214653679931,0.858387128330664,0.8490024402481756,0.004034337037329139,0.0032616279161871873,0.0032616279161871878,0.0014117728296533633,7.680055143085564e-13,0.43284300537374354,20260313-113827
5.0,0,12500,5000,0.8575152931928335,0.854827281997556,0.66,0.657599225794865,-0.0026880111952775065,0.19482728199755595,168.34468820900656,0.16834468820900655,0.9145228125647172,0.8576529346701336,0.8576529346701336,0.05686987789458364,0.8614653919212156,0.8575152931928335,0.8487011137155382,0.003950098728382145,0.0027476262941619413,0.0027476262941619413,0.001142003321554316,5.748684526591071e-13,0.4156326950214461,20260313-114007
