alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,datetime
0.5,0,1250,5000,0.8745467008959443,0.8688741552058483,0.65,0.6511502881237284,,,,,,,,,,,,,0.004415464828150237,0.004415464828150238,0.0004276854665000262,,0.09686080246260183,20260308-031809
1.0,0,2500,5000,0.8699695306063093,0.8662461492583167,0.65,0.6501232231742079,,,,,,,,,,,,,0.004415440480323707,0.004415440480323705,0.0004276758038635578,,0.09685914820262824,20260308-031816
2.0,0,5000,5000,0.8655022527745787,0.8645120620990084,0.65,0.6470999483655112,,,,,,,,,,,,,0.004415453048608485,0.004415453048608486,0.0004276808929093445,,0.09686002505317697,20260308-031827
3.0,0,7500,5000,0.8676587659614309,0.8669633258482234,0.65,0.6485816468171962,,,,,,,,,,,,,0.004415456518525356,0.004415456518525355,0.00042768079291838465,,0.09685992628939274,20260308-031850
5.0,0,12500,5000,0.8693444152154834,0.8665887577148005,0.65,0.6496383140228913,,,,,,,,,,,,,0.004415456815471202,0.004415456815471201,0.0004276860997895661,,0.09686112166039271,20260308-031925
