alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,ridge_train_loss,ridge_population_risk,ridge_generalization_gap,ridge_excess_population_risk,pca_train_loss,pca_population_risk,pca_generalization_gap,pca_excess_population_risk,pca_n_components,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,effective_rank,datetime
,42,10,5000,0.3398285150085229,1.3445991921861602,0.24553354982376377,0.2451407183257645,1.0047706771776372,1.0990656423623963,,,,,,,,,,26.662182794883847,0.00533243655897677,0.8268075157855321,0.3511988987359776,0.3511988987359776,0.47560861704955454,0.8260015106552503,0.3398285150085229,0.3398285150085229,0.4861729956467274,45.41954560168614,45.41954560168613,35.1456283740784,1.7283658641564702e-07,0.773799647453401,2.299663299116714,20260331-201214
,42,20,5000,0.42601371578761676,1.4875538832087714,0.24553354982376377,0.2474685583834842,1.0615401674211546,1.2420203333850075,,,,,,,,,,27.66933549195528,0.005533867098391056,0.7496782109461779,0.4449268419146662,0.4449268419146662,0.30475136903151173,0.7491104388867419,0.42601371578761676,0.42601371578761676,0.3230967230991251,75.64133248830372,75.6413324883037,36.885780144982576,5.235749538657716e-06,0.4876405389961389,4.358900907547092,20260331-201217
,42,30,5000,0.5317419894837638,1.5047535419713458,0.24553354982376377,0.24695938943370158,0.973011552487582,1.259219992147582,,,,,,,,,,28.601221960037947,0.005720244392007589,0.755618963804287,0.5486877640148461,0.5486877640148461,0.20693119978944086,0.755100625567109,0.5317419894837638,0.5317419894837638,0.22335863608334516,67.78055807497506,67.78055807497506,33.27938440096608,5.669853321633914e-07,0.49098717015806065,4.7916674368451275,20260331-201217
,42,40,5000,0.6251165765941832,1.1810869241158355,0.24553354982376377,0.24512131075997895,0.5559703475216523,0.9355533742920717,,,,,,,,,,27.668153887614608,0.005533630777522921,0.8109891019485407,0.63227434069077,0.63227434069077,0.17871476125777064,0.810523898884788,0.6251165765941832,0.6251165765941832,0.18540732229060486,28.629139086371808,28.629139086371808,13.678793670590366,3.618570370350864e-08,0.47779270027375065,4.174339010214251,20260331-201221
,42,50,5000,0.6522868720187308,1.1181091583493035,0.24553354982376377,0.24364629273426072,0.46582228633057265,0.8725756085255397,,,,,,,,,,28.768482567742467,0.005753696513548494,0.7513743972689266,0.6583350432441891,0.6583350432441891,0.09303935402473751,0.7509441231796901,0.6522868720187308,0.6522868720187308,0.09865725116095925,24.19099760828846,24.190997608288455,12.891681273033003,1.6051496608406685e-09,0.5329123454014143,3.598340235969459,20260331-201224
,42,60,5000,0.7297466141008767,1.0489187847301347,0.24553354982376377,0.24294568720468132,0.31917217062925796,0.8033852349063709,,,,,,,,,,28.781366754323244,0.005756273350864649,0.8488704433070566,0.7355967367436672,0.7355967367436672,0.11327370656338942,0.8483961996607225,0.7297466141008767,0.7297466141008767,0.11864958555984584,23.39859399299163,23.39859399299162,11.81492715503602,3.2683778621469752e-09,0.5049417566959296,3.4852374433876667,20260331-201238
,42,70,5000,0.7582066800993593,0.8536764726179028,0.24553354982376377,0.24519009093252206,0.09546979251854348,0.6081429227941391,,,,,,,,,,31.384297369048,0.0062768594738096,0.8107843109046756,0.760445293959131,0.760445293959131,0.05033901694554466,0.810285451212017,0.7582066800993593,0.7582066800993593,0.052078771112657685,8.954261765768644,8.954261765768644,3.5585491508029037,1.5395861316659722e-10,0.3974140184740772,4.064503281458639,20260331-201236
,42,80,5000,0.7197415599267533,0.8589268716209066,0.24553354982376377,0.24330558700046095,0.13918531169415338,0.6133933217971429,,,,,,,,,,26.110986553132534,0.005222197310626507,0.7668664778239044,0.7222685472173199,0.7222685472173199,0.04459793060658446,0.7663709094541129,0.7197415599267533,0.7197415599267533,0.04662934952735964,10.10777669467531,10.107776694675312,6.525661411831404,1.7468438306267252e-11,0.6456079916436089,2.956585310639488,20260331-201300
,42,90,5000,0.7392786463385513,0.8932956416771091,0.24553354982376377,0.2416522243820611,0.15401699533855773,0.6477620918533453,,,,,,,,,,32.76860234886408,0.006553720469772816,0.8328677752376024,0.7436175215423394,0.7436175215423394,0.08925025369526296,0.8323875989226643,0.7392786463385513,0.7392786463385513,0.093108952584113,17.354542115841085,17.354542115841088,8.153939287001203,2.3894889917456194e-08,0.46984468000215046,4.31086789377093,20260331-201303
,42,100,5000,0.7672136599412291,0.8552686373335259,0.24553354982376377,0.24352154458332478,0.08805497739229673,0.6097350875097621,,,,,,,,,,38.46173965372145,0.00769234793074429,0.8296814766531702,0.7707132294157995,0.7707132294157995,0.05896824723737071,0.8291460725682208,0.7672136599412291,0.7672136599412291,0.06193241262699167,13.998128458272976,13.998128458272975,10.749601134574135,8.061741762255348e-13,0.7679313107189744,2.1899690109943544,20260331-201303
