run_name,experiment_number,alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
experiment_1_20260308-024555,1,0.5,0,1250,5000,1.0834761448392456,1.079065432515226,0.9353846153846154,0.9367410645929897,0.00441541701941708,0.00441541701941708,0.00042759842661978795,0.09684213852041526
experiment_2_20260308-024605,2,1.0,0,2500,5000,1.081235478927373,1.076799271291071,0.9353846153846154,0.9347917715924361,0.00441540299215784,0.00441540299215784,0.0004275942469054263,0.09684149955618385
experiment_3_20260308-024621,3,2.0,0,5000,5000,1.0764464591258078,1.0744387968103415,0.9353846153846154,0.9307009346544859,0.004415412432656254,0.004415412432656253,0.0004275943993090307,0.09684132701773353
experiment_4_20260308-024652,4,3.0,0,7500,5000,1.078236516888604,1.0763105040102008,0.9353846153846154,0.9341322628619361,0.004415413317114007,0.004415413317114007,0.0004275931031920881,0.09684101407556801
experiment_5_20260308-024743,5,5.0,0,12500,5000,1.0782908085106049,1.0763625920229514,0.9353846153846154,0.9335338891160405,0.004415414737234823,0.004415414737234823,0.0004276014923092229,0.09684288289009305
