run_name,experiment_number,alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
experiment_1_20260308-031332,1,0.5,0,1250,5000,0.874545831904803,0.8688733722651283,0.65,0.6511502881237284,0.004416707436231622,0.00441670743623162,0.0004291618246462235,0.09716781807318185
experiment_2_20260308-031339,2,1.0,0,2500,5000,0.8699688039314261,0.866245447995085,0.65,0.6501232231742079,0.004416420563256323,0.004416420563256323,0.0004290559003361219,0.09715014550601803
experiment_3_20260308-031351,3,2.0,0,5000,5000,0.865501586741433,0.8645113901224312,0.65,0.6470999483655112,0.004416528709558416,0.004416528709558415,0.00042910960266401586,0.09715992601504456
experiment_4_20260308-031414,4,3.0,0,7500,5000,0.867658058245428,0.8669625962850245,0.65,0.6485816468171962,0.004416573714717119,0.004416573714717118,0.00042911047854539473,0.0971591342663414
experiment_5_20260308-031452,5,5.0,0,12500,5000,0.8693436745310377,0.8665880663094183,0.65,0.6496383140228913,0.004416587570321818,0.004416587570321819,0.00042916286832371086,0.09717069151024206
