alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,ridge_train_loss,ridge_population_risk,ridge_generalization_gap,ridge_excess_population_risk,pca_train_loss,pca_population_risk,pca_generalization_gap,pca_excess_population_risk,pca_n_components,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,effective_rank,datetime
,42,10,5000,0.631472320397251,1.5570964114383308,0.45666666666666667,0.45464616530105106,0.9256240910410798,1.100429744771664,,,,,,,,,,30.66808896884322,0.006133617793768645,0.9314691836561017,0.6454929317714888,0.6454929317714888,0.28597625188461284,0.929830478100054,0.631472320397251,0.631472320397251,0.29835815770280305,14.02057406195306,14.020574061953061,11.114775829303168,5.743482335112136e-12,0.792747556568656,1.8736613536659736,20260331-202409
,42,20,5000,0.6137867525836925,1.5031963647114845,0.45666666666666667,0.4556107472632366,0.889409612127792,1.046529698044818,,,,,,,,,,33.11812756769359,0.006623625513538718,0.9487114409915076,0.635681827683978,0.635681827683978,0.31302961330752965,0.9471084476920838,0.6137867525836925,0.6137867525836925,0.33332169510839127,21.895030232052264,21.895030232052264,18.53574557317101,3.4099719173883977e-12,0.8465731892909849,1.7121099274388132,20260331-202408
,42,30,5000,0.645222498296922,1.4606003850788285,0.45666666666666667,0.4589107720173521,0.8153778867819065,1.0039337184121617,,,,,,,,,,22.320863311178982,0.004464172662235796,0.9772230820908072,0.6836075838774531,0.6836075838774531,0.2936154982133541,0.9757039615242522,0.645222498296922,0.645222498296922,0.3304814632273302,38.38495755269834,38.38495755269835,22.037777979634583,1.7423060164865512e-11,0.5741253705798457,3.3267375879361176,20260331-202415
,42,40,5000,0.6234960807414496,1.4160108030656193,0.45666666666666667,0.4559502673911942,0.7925147223241698,0.9593441363989527,,,,,,,,,,33.855400117114186,0.006771080023422837,0.9644977352938858,0.6646686788463169,0.6646686788463169,0.29982905644756896,0.9626871072148742,0.6234960807414496,0.6234960807414496,0.3391910264734246,41.172461667607266,41.172461667607266,26.88683896831712,2.7602806261644522e-11,0.6530296678731392,3.2235934890759474,20260331-202422
,42,50,5000,0.6832017385841621,1.4511547811361427,0.45666666666666667,0.46008807802406027,0.7679530425519806,0.994488114469476,,,,,,,,,,37.99637649953365,0.0075992752999067305,0.9822971164198163,0.7303888380984523,0.7303888380984523,0.251908278321364,0.9808333086802403,0.6832017385841621,0.6832015527065951,0.2976315700960782,47.18731940971196,47.187319409711954,27.788586175912293,3.5502185140984443e-13,0.5888994442475775,3.3230845729981664,20260331-202419
,42,60,5000,0.7027875431269979,1.4418074318422252,0.45666666666666667,0.45983387760421013,0.7390198887152273,0.9851407651755585,,,,,,,,,,28.392686653882265,0.005678537330776453,0.9596027847267945,0.7489487774476653,0.7489487774476653,0.2106540072791292,0.9580466868822906,0.7027875431269979,0.7027875431269979,0.2552591437552927,46.1611719618726,46.161171961872576,27.58065199505789,8.74349291113646e-14,0.5974859567655365,3.2611464516566686,20260331-202431
,42,70,5000,0.7454675724691117,1.4742416642651235,0.45666666666666667,0.45610498996146615,0.7287740917960118,1.017574997598457,,,,,,,,,,40.907340448349714,0.008181468089669942,1.0035387076951015,0.796588714698364,0.796588714698364,0.20694999299673744,1.002031742617331,0.7454675724691117,0.7454675724691117,0.2565641701482194,51.12105941708448,51.121059417084496,29.285404487104458,4.869460910610066e-12,0.572863802531396,3.4599887458492815,20260331-202434
,42,80,5000,0.7343582608368394,1.4666157100203225,0.45666666666666667,0.45936544626289144,0.7322574491834831,1.009949043353656,,,,,,,,,,44.51928466744721,0.008903856933489442,0.9495116374390341,0.7872326824040434,0.7872326824040434,0.16227895503499068,0.9480142081560686,0.7343582608368394,0.7343582608368394,0.2136559473192292,52.87433586789462,52.87433586789464,28.884569088612047,9.291935009765544e-13,0.5462871280460051,4.033938446644738,20260331-202442
,42,90,5000,0.7367508585138874,1.4293539535257518,0.45666666666666667,0.45513956792400295,0.6926030950118643,0.9726872868590851,,,,,,,,,,31.71074147336185,0.0063421482946723695,0.9559540275214304,0.7807778237995746,0.7807778237995746,0.17517620372185583,0.954596517109781,0.7367508585138874,0.7367508585138874,0.21784565859589355,44.0268813771731,44.02688137717308,21.34762966915285,2.5829056028538917e-12,0.48487717052384954,4.258202631231003,20260331-202459
,42,100,5000,0.785431121216582,1.4283990279436438,0.45666666666666667,0.45907987227707797,0.6429679067270618,0.9717323612769772,,,,,,,,,,42.679541043937206,0.00853590820878744,0.9801529975081632,0.834994263978915,0.834994263978915,0.14515873352924824,0.9788062958051618,0.785431121216582,0.785431121216582,0.19337517458857978,49.563093607933794,49.56309360793379,25.513744000584886,2.0530901401752364e-14,0.5147730325796448,4.053166799956054,20260331-202447
,42,125,5000,0.8338592377679923,1.3276299460470855,0.45666666666666667,0.45814006892191617,0.4937707082790932,0.8709632793804188,,,,,,,,,,33.91262776963413,0.006782525553926826,0.9945747088030987,0.8758864113455908,0.8758864113455908,0.11868829745750797,0.9931579823358953,0.8338592377679923,0.8338592377679923,0.15929874456790294,42.027127077723264,42.02712707772326,18.461586729379682,4.077513274038538e-14,0.43927786677489455,5.123988329581101,20260331-202459
,42,150,5000,0.84297473277756,1.2845966983354131,0.45666666666666667,0.45617628196245585,0.44162196555785316,0.8279300316687465,,,,,,,,,,57.70149837806821,0.011540299675613642,1.0072093153425388,0.8795733097423346,0.8795733097423346,0.12763600560020416,1.005867236821577,0.84297473277756,0.84297473277756,0.16289250404401712,36.59855956463743,36.598559564637426,17.979158615351842,1.6198272884930893e-13,0.4912531757868366,4.7601992151393455,20260331-202502
,42,175,5000,0.8628694221886904,1.0793998412354424,0.45666666666666667,0.45651654140124664,0.21653041904675197,0.6227331745687757,,,,,,,,,,58.376549577340484,0.011675309915468097,0.9653720967439904,0.8836693062689815,0.8836693062689815,0.08170279047500884,0.9640035455693471,0.8628694221886904,0.8628694221886904,0.10113412338065664,20.799869851441613,20.799869851441606,6.411074344378082,1.3970672895568926e-13,0.3082266567131303,6.16909976813374,20260331-202459
,42,200,5000,0.8637457196680424,1.0839124092546226,0.45666666666666667,0.4583458856667457,0.22016668958658026,0.627245742587956,,,,,,,,,,64.43087684363127,0.012886175368726254,0.9780026028969235,0.8842988560663197,0.8842988560663197,0.09370374683060378,0.9765792810960747,0.8637457196680424,0.8637457196680424,0.11283356142803236,20.55312708779556,20.553127087795556,7.944946389425647,1.6555408615798874e-13,0.3865565738725644,5.579246367752172,20260331-202459
