run_name,experiment_number,alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
experiment_1_20260307-204928,1,0.5,0,1250,5000,1.254552473838832,1.2519117208506865,1.0,1.004254533038861,0.004454233157091425,0.004454233157091425,0.00044092387957515064,0.09898985168146653
experiment_2_20260307-204937,2,1.0,0,2500,5000,1.2492618819551096,1.2473086933948976,1.0,0.9963076447657666,0.004454221650043735,0.004454221650043735,0.00044088853300048225,0.09898217188993128
experiment_3_20260307-204951,3,2.0,0,5000,5000,1.2525247562344968,1.2497265971803482,1.0,0.9972684929503474,0.004452046880995656,0.004452046880995656,0.00044031739142216277,0.09890223602580084
experiment_4_20260307-205022,4,3.0,0,7500,5000,1.2471704772553756,1.2476415125292044,1.0,0.9985303675510313,0.004452395810732836,0.004452395810732836,0.0004407785169727967,0.09899805311788921
experiment_5_20260307-205103,5,5.0,0,12500,5000,1.248354953616806,1.2523177821672846,1.0,0.9988698818985595,0.004451769873693264,0.004451769873693265,0.0004397977017746082,0.09879165236583637
