alpha,seed,T,d,r,beta,lambda_reg,covariance_type,rho,length_scale,eta,mask_value,n_steps,learning_rate,n_population_config,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
3.0,0,6,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,7500,5000,0.4817401139615389,0.4822593454633636,0.2663414634146341,0.2655666133749851,0.0044180576286348,0.0044180576286348,0.0004307053515841,0.0974874906095892
5.0,0,6,50,50,1.0,0.1,toeplitz,0.8,,,1.0,500,0.001,5000,12500,5000,0.4839805900461956,0.4814733229148087,0.2663414634146341,0.2665778991212906,0.0044180700454676,0.0044180700454676,0.0004307199367111,0.0974905178683271
0.5,0,4,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,1250,5000,1.1401274432732549,1.1391108077367231,0.9382971014492754,0.94208208959476,0.0044163760513203,0.0044163760513203,0.0004287682535834,0.0970859928142428
1.0,0,4,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,2500,5000,1.1375518027857476,1.1343432253408334,0.9382971014492754,0.935381205186696,0.0044163295078707,0.0044163295078707,0.0004288274807478,0.0971004269458661
2.0,0,4,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,5000,5000,1.139712786956949,1.136000116857386,0.9382971014492754,0.9364845394341778,0.0044162830741405,0.0044162830741405,0.0004287666379191,0.0970876709488518
3.0,0,4,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,7500,5000,1.1342544351158836,1.1337078523812285,0.9382971014492754,0.9369907658143732,0.0044164631271585,0.0044164631271585,0.0004288571570308,0.097104208658192
5.0,0,4,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,12500,5000,1.135330145562734,1.1392988364336498,0.9382971014492754,0.9374945137248272,0.0044162795218014,0.0044162795218014,0.000428677905922,0.0970676570189557
0.5,0,6,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,1250,5000,1.097461578130756,1.0931450356166996,0.9310364973015884,0.9323712598624788,0.0044159900362518,0.0044159900362518,0.000428211203725,0.0969683355736302
1.0,0,6,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,2500,5000,1.095393002483562,1.090645307497776,0.9310364973015884,0.9304208606940422,0.0044158490864719,0.0044158490864719,0.0004281832633881,0.0969651034270905
2.0,0,6,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,5000,5000,1.0905243598200256,1.088276241055267,0.9310364973015884,0.9264067811593232,0.0044159448903563,0.0044159448903563,0.0004281865046697,0.0969637337650663
3.0,0,6,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,7500,5000,1.0921484589811856,1.0900307732535572,0.9310364973015884,0.929929682642654,0.0044159536116687,0.0044159536116687,0.0004281685296778,0.0969594717993493
5.0,0,6,50,50,1.0,0.1,tridiagonal,0.2,,,1.0,500,0.001,5000,12500,5000,1.092139799765486,1.0902264300764408,0.9310364973015884,0.9291519955213752,0.0044159732669252,0.0044159732669252,0.0004282602983883,0.0969798213218233
0.5,0,4,50,50,1.0,0.1,tridiagonal,0.5,,,1.0,500,0.001,5000,1250,5000,0.9684020123619592,0.9697190029637676,0.5208333333333334,0.522889729157922,0.0044173599863248,0.0044173599863248,0.0004300118486941,0.097345892122299
