alpha,seed,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,generalization_gap,excess_population_risk,runtime_seconds,runtime_per_step_seconds,initial_objective,final_objective,best_objective,objective_reduction,initial_train_loss_history,final_train_loss_history,best_train_loss_history,train_loss_reduction,weight_norm,trace_s,top_eigenvalue,min_eigenvalue,R1,datetime
0.5,0,1250,5000,1.0974613318131248,1.0931479660885737,0.9310364973015884,0.9323712598624787,,,,,,,,,,,,,0.004448792589899185,0.004448792589899186,0.00044160642096470725,,0.09926433117321716,20260308-045451
1.0,0,2500,5000,1.09539370581852,1.0906488309838467,0.9310364973015884,0.9304208606940422,,,,,,,,,,,,,0.004446063211710189,0.004446063211710189,0.0004408969023091189,,0.09916568463261383,20260308-045458
2.0,0,5000,5000,1.090527175159447,1.0882790899936636,0.9310364973015884,0.9264067811593232,,,,,,,,,,,,,0.004446154909803357,0.0044461549098033576,0.00044147480931780697,,0.09929361848018296,20260308-045512
3.0,0,7500,5000,1.0921529827299945,1.0900339132622718,0.9310364973015884,0.9299296826426539,,,,,,,,,,,,,0.0044458443138913305,0.0044458443138913305,0.00044098079813288633,,0.09918943782062116,20260308-045537
5.0,0,12500,5000,1.0921440906800373,1.0902288091778667,0.9310364973015884,0.9291519955213753,,,,,,,,,,,,,0.0044462922363504975,0.004446292236350498,0.00044176751747130764,,0.09935638369868129,20260308-045619
